time_min,vehicle_power_kw,dc_bus_voltage_v,current_a,efficiency,loss_kw,temperature_c,soc
26.8,200,796.25,250.0,0.958469387755102,8.666027893111883,38.00135296486308,0.5286666666666642
26.900000000000002,200,796.25,250.0,0.958469387755102,8.666027893111883,38.018669613148006,0.5293333333333309
27.0,200,796.25,250.0,0.958469387755102,8.666027893111883,38.03587081711103,0.5299999999999976
27.1,200,796.25,250.0,0.958469387755102,8.666027893111883,38.05295734638097,0.5306666666666643
27.200000000000003,200,796.25,250.0,0.958469387755102,8.666027893111883,38.06992996545577,0.531333333333331
27.3,200,796.25,250.0,0.958469387755102,8.666027893111883,38.08678943373674,0.5319999999999977
27.400000000000002,200,796.25,250.0,0.958469387755102,8.666027893111883,38.1035365055625,0.5326666666666644
27.5,200,796.25,250.0,0.958469387755102,8.666027893111883,38.12017193024276,0.5333333333333311
27.6,200,796.25,250.0,0.958469387755102,8.666027893111883,38.13669645209182,0.5339999999999978
27.700000000000003,200,796.25,250.0,0.958469387755102,8.666027893111883,38.15311081046188,0.5346666666666645
27.8,200,796.25,250.0,0.958469387755102,8.666027893111883,38.16941573977615,0.5353333333333312
27.900000000000002,200,796.25,250.0,0.958469387755102,8.666027893111883,38.18561196956165,0.5359999999999979
28.0,200,796.25,250.0,0.958469387755102,8.666027893111883,38.20170022448191,0.5366666666666646
28.1,200,796.25,250.0,0.958469387755102,8.666027893111883,38.21768122436937,0.5373333333333313
28.200000000000003,200,796.25,250.0,0.958469387755102,8.666027893111883,38.23355568425759,0.537999999999998
28.3,200,796.25,250.0,0.958469387755102,8.666027893111883,38.249324314413215,0.5386666666666647
28.400000000000002,200,796.25,250.0,0.958469387755102,8.666027893111883,38.2649878203678,0.5393333333333314
28.5,200,796.25,250.0,0.958469387755102,8.666027893111883,38.280546902949354,0.5399999999999981
28.6,200,796.25,250.0,0.958469387755102,8.666027893111883,38.2960022583137,0.5406666666666649
28.700000000000003,200,796.25,250.0,0.958469387755102,8.666027893111883,38.311354577975614,0.5413333333333316
28.8,200,796.25,250.0,0.958469387755102,8.666027893111883,38.32660454883978,0.5419999999999983
28.900000000000002,200,796.25,250.0,0.958469387755102,8.666027893111883,38.341752853231526,0.542666666666665
29.0,200,796.25,250.0,0.958469387755102,8.666027893111883,38.35680016892732,0.5433333333333317
29.1,200,796.25,250.0,0.958469387755102,8.666027893111883,38.37174716918515,0.5439999999999984
29.200000000000003,200,796.25,250.0,0.958469387755102,8.666027893111883,38.38659452277459,0.5446666666666651
29.3,200,796.25,250.0,0.958469387755102,8.666027893111883,38.40134289400677,0.5453333333333318
29.400000000000002,200,796.25,250.0,0.958469387755102,8.666027893111883,38.41599294276406,0.5459999999999985
29.5,200,796.25,250.0,0.958469387755102,8.666027893111883,38.430545324529646,0.5466666666666652
29.6,200,796.25,250.0,0.958469387755102,8.666027893111883,38.44500069041679,0.5473333333333319
29.700000000000003,200,796.25,250.0,0.958469387755102,8.666027893111883,38.459359687198024,0.5479999999999986
29.8,200,796.25,250.0,0.958469387755102,8.666027893111883,38.473622957334044,0.5486666666666653
29.900000000000002,200,796.25,250.0,0.958469387755102,8.666027893111883,38.487791139002496,0.549333333333332
30.0,200,796.25,250.0,0.958469387755102,8.666027893111883,38.50186486612649,0.5499999999999987
30.1,-80,801.5,-100.0,0.9639551020408162,2.9914171631331854,38.515844768402985,0.5506666666666654
30.200000000000003,-80,801.5,-100.0,0.9639551020408162,2.9914171631331854,38.46163614257123,0.5503999999999988
30.3,-80,801.5,-100.0,0.9639551020408162,2.9914171631331854,38.40778890757835,0.5501333333333321
30.400000000000002,-80,801.5,-100.0,0.9639551020408162,2.9914171631331854,38.35430065415209,0.5498666666666655
30.5,-80,801.5,-100.0,0.9639551020408162,2.9914171631331854,38.30116898908201,0.5495999999999989
30.6,-80,801.5,-100.0,0.9639551020408162,2.9914171631331854,38.24839153511239,0.5493333333333322
30.700000000000003,-80,801.5,-100.0,0.9639551020408162,2.9914171631331854,38.195965930835904,0.5490666666666656
30.8,-80,801.5,-100.0,0.9639551020408162,2.9914171631331854,38.14388983058793,0.548799999999999
30.900000000000002,-80,801.5,-100.0,0.9639551020408162,2.9914171631331854,38.09216090434161,0.5485333333333323
31.0,-80,801.5,-100.0,0.9639551020408162,2.9914171631331854,38.0407768376036,0.5482666666666657
